feature,ebm_importance
m-tyramine sulfate,0.1754364222536133
2-methylserine,0.17119611986322197
pyridoxamine,0.16317459212639163
5-methyl-2'-deoxycytidine,0.10967290722394771
glycerophosphoglycerol,0.10863137568641765
2-methylcitrate/homocitrate,0.10786512968955257
choline,0.10495848920271596
2'-O-methyluridine,0.09885859908878838
arabonate/xylonate,0.09850988910581478
ribonate,0.09267291066058855
3-hydroxyadipate*,0.08748996613645199
phenylacetyltaurine,0.07764731227353694
1-methylguanosine,0.07290950483785981
"N6,N6,N6-trimethyllysine",0.07096060778922325
adenosine,0.07091137811773467
C-glycosyltryptophan,0.07028681797284604
3-methylcytidine,0.06973217092447653
phenylacetylglycine,0.06934095625071005
phenylacetylserine,0.06517791727163137
phenylalanylhydroxyproline,0.06042496243031079
betaine,0.05947879715255706
glycerophosphoserine*,0.05734311963274123
"adenosine 3',5'-cyclic monophosphate (cAMP)",0.05673112320559922
decadienedioic acid (C10:2-DC),0.055315910291384184
ribitol,0.051618565793683104
N-acetylglucosamine/N-acetylgalactosamine,0.05113568724859887
biopterin,0.04962360904099607
isoleucylhydroxyproline,0.043791744205608926
isoputreanine,0.043203938224058366
leucylhydroxyproline,0.0431522223334749
O-sulfo-L-tyrosine,0.04171279394739015
4-hydroxymandelate,0.04083232190855894
allantoin,0.03846230270901585
"guanosine-3',5'-cyclic monophosphate (cGMP)",0.03805660010073472
1-methyladenosine,0.035331474925315055
4-octenedioate,0.03433802914865416
N3-methyluridine,0.03124900721540747
7-methylguanine,0.02882225567124444
suberate (C8-DC),0.022835700091209513
levulinate (4-oxovalerate),0.021804929927226477
