feature,fold_selection_count
C-glycosyltryptophan,5
isoputreanine,5
ribitol,5
ribonate,5
N-acetylglucosamine/N-acetylgalactosamine,5
2-methylcitrate/homocitrate,5
3-hydroxyadipate*,5
choline,5
glycerophosphoserine*,5
glycerophosphoglycerol,5
allantoin,5
"adenosine 3',5'-cyclic monophosphate (cAMP)",5
1-methyladenosine,5
N3-methyluridine,5
3-methylcytidine,5
biopterin,5
pyridoxamine,5
O-sulfo-L-tyrosine,5
"N6,N6,N6-trimethyllysine",4
phenylacetyltaurine,4
suberate (C8-DC),4
4-octenedioate,4
7-methylguanine,4
1-methylguanosine,4
4-hydroxymandelate,4
betaine,3
N-acetyltryptophan,3
phenylacetylglycine,3
phenylacetylserine,3
3-hydroxydodecanedioate,3
adenosine,3
cytidine,3
levulinate (4-oxovalerate),3
"guanosine-3',5'-cyclic monophosphate (cGMP)",3
2'-O-methyluridine,3
5-methyl-2'-deoxycytidine,3
m-tyramine sulfate,2
dimethylarginine (ADMA + SDMA),2
(N(1) + N(8))-acetylspermidine,2
phenylacetylglutamate,2
arabonate/xylonate,2
adipate,2
3-hydroxysuberate,2
xanthurenate,2
isoleucylhydroxyproline,2
leucylhydroxyproline,2
nonenedioate (C9:1-DC),2
2-methylserine,2
dimethylmalonic acid,1
N1-Methyl-2-pyridone-5-carboxamide,1
felinine,1
arabitol/xylitol,1
3-hydroxysebacate,1
glycerophosphoethanolamine,1
erythritol,1
prolylhydroxyproline,1
phenylalanylhydroxyproline,1
isocaproyltaurine,1
urate,1
"N2,N2-dimethylguanosine",1
"5,6-dihydrothymine",1
3-methylhistidine,1
urea,1
phosphate,1
pimelate (C7-DC),1
2'-O-methylcytidine,1
"1,2,3-butanetriol",1
erythronate*,1
decadienedioic acid (C10:2-DC),1
xanthosine,1
3-(3-amino-3-carboxypropyl)uridine,1
p-cresol sulfate,1
gluconate,1
