y,elastic_net_logistic,xgboost,ebm,Animal
CKD,"[0.19577909751110387, 0.7060312860231264, 0.0981896164657697]","[0.12057917565107346, 0.7848092317581177, 0.09461157768964767]","[0.02785472940979117, 0.9250825068354742, 0.047062763754734595]",A
CKD,"[0.2698353344408584, 0.6335338182844753, 0.09663084727466636]","[0.1470438688993454, 0.7577750086784363, 0.09518115222454071]","[0.06005893097526417, 0.8573523099955238, 0.08258875902921187]",A
CKD,"[0.336725543982776, 0.5974560602427567, 0.06581839577446724]","[0.22983889281749725, 0.6579122543334961, 0.11224885284900665]","[0.10471904210907859, 0.8412634111104, 0.05401754678052149]",A
CKD,"[0.14333976840574839, 0.5825414800094829, 0.2741187515847687]","[0.10613991320133209, 0.6936786770820618, 0.20018140971660614]","[0.03108205997799705, 0.7908648138645719, 0.17805312615743102]",A
CKD,"[0.0054508569610446245, 0.3413204069012312, 0.6532287361377241]","[0.06554105132818222, 0.26354488730430603, 0.6709141135215759]","[0.0029243561515887003, 0.45320115106577724, 0.5438744927826341]",A
CaOx,"[0.919465704348748, 0.05062061666685376, 0.029913678984398128]","[0.9009701013565063, 0.067070372402668, 0.03195958212018013]","[0.9688410487386844, 0.029898796614898065, 0.001260154646417512]",AZ
CaOx,"[0.8182975918751383, 0.1131369982701658, 0.06856540985469592]","[0.8076017498970032, 0.10622379928827286, 0.08617446571588516]","[0.8746041963441671, 0.11934695685154184, 0.006048846804291084]",AZ
CaOx,"[0.7346541950977503, 0.19747127420557767, 0.06787453069667189]","[0.8308104276657104, 0.12773936986923218, 0.04145025089383125]","[0.861220720939244, 0.1292655771068996, 0.009513701953856375]",AZ
CaOx,"[0.12274054222124013, 0.5655999014802455, 0.31165955629851433]","[0.09914349764585495, 0.5185567140579224, 0.38229984045028687]","[0.033643729587707644, 0.5773280159438381, 0.38902825446845435]",AZ
CaOx,"[0.33213422623177763, 0.3892002075593024, 0.27866556620891997]","[0.23384439945220947, 0.5412339568138123, 0.22492161393165588]","[0.1124257509926413, 0.7172546014001118, 0.170319647607247]",AZ
CKD,"[0.7132167212070716, 0.13113219030765844, 0.15565108848526998]","[0.8199846148490906, 0.11587948352098465, 0.06413595378398895]","[0.7558286460427541, 0.1017166675759827, 0.1424546863812631]",B
CKD,"[0.1890001557841661, 0.48180979023180465, 0.3291900539840292]","[0.2791712284088135, 0.5957273244857788, 0.1251014620065689]","[0.10054019400964613, 0.6507324792757477, 0.24872732671460618]",B
CKD,"[0.015477915882980626, 0.35261640717332643, 0.6319056769436929]","[0.05389612913131714, 0.28674840927124023, 0.6593554615974426]","[0.011357889438914791, 0.36408378069992525, 0.62455832986116]",B
CKD,"[0.4644846525934942, 0.22201392134750605, 0.3135014260589998]","[0.6466310620307922, 0.2701202929019928, 0.08324865251779556]","[0.5231132083446931, 0.2586675014012763, 0.2182192902540307]",B
